gene_id,transcript_id
ENSG00000127554,ENST00000248114
ENSG00000127554,ENST00000567719
ENSG00000128309,ENST00000429360
ENSG00000128309,ENST00000401419
ENSG00000128626,ENST00000308018
ENSG00000128626,ENST00000402029
ENSG00000128694,ENST00000264151
ENSG00000128694,ENST00000519810
ENSG00000130204,ENST00000405636
ENSG00000130204,ENST00000252487
ENSG00000130414,ENST00000252711
ENSG00000130414,ENST00000407129
ENSG00000131174,ENST00000475465
ENSG00000131174,ENST00000373335
ENSG00000131730,ENST00000254035
ENSG00000131730,ENST00000511719
ENSG00000132463,ENST00000499044
ENSG00000132463,ENST00000514161
ENSG00000132837,ENST00000255189
ENSG00000132837,ENST00000523732
ENSG00000133983,ENST00000389912
ENSG00000133983,ENST00000555276
ENSG00000134240,ENST00000544913
ENSG00000134240,ENST00000369406
ENSG00000135241,ENST00000453144
ENSG00000135241,ENST00000436062
ENSG00000135297,ENST00000370300
ENSG00000135297,ENST00000370305
ENSG00000135423,ENST00000311966
ENSG00000135423,ENST00000539272
ENSG00000135469,ENST00000433805
ENSG00000135469,ENST00000546544
ENSG00000136877,ENST00000373247
ENSG00000136877,ENST00000373225
ENSG00000137409,ENST00000373627
ENSG00000137409,ENST00000373616
ENSG00000137944,ENST00000260508
ENSG00000137944,ENST00000370491
ENSG00000138095,ENST00000260665
ENSG00000138095,ENST00000447246
ENSG00000140107,ENST00000557052
ENSG00000140107,ENST00000361529
ENSG00000140459,ENST00000358632
ENSG00000140459,ENST00000268053
ENSG00000141682,ENST00000316660
ENSG00000141682,ENST00000269518
ENSG00000141756,ENST00000321562
ENSG00000141756,ENST00000455106
ENSG00000143199,ENST00000545172
ENSG00000143199,ENST00000367848
ENSG00000143199,ENST00000367851
ENSG00000144908,ENST00000393434
ENSG00000144908,ENST00000452905
ENSG00000145247,ENST00000273860
ENSG00000145247,ENST00000508632
ENSG00000147853,ENST00000381809
ENSG00000147853,ENST00000359883
ENSG00000148339,ENST00000373068
ENSG00000148339,ENST00000373064
ENSG00000150756,ENST00000280330
ENSG00000150756,ENST00000511437
ENSG00000151726,ENST00000503407
ENSG00000151726,ENST00000281455
ENSG00000153094,ENST00000393256
ENSG00000153094,ENST00000405953
ENSG00000154518,ENST00000409194
ENSG00000154518,ENST00000392541
ENSG00000154814,ENST00000605932
ENSG00000154814,ENST00000285083
ENSG00000156467,ENST00000287022
ENSG00000156467,ENST00000517523
ENSG00000156709,ENST00000287295
ENSG00000156709,ENST00000346424
ENSG00000156968,ENST00000396385
ENSG00000156968,ENST00000287594
ENSG00000156990,ENST00000383820
ENSG00000156990,ENST00000433972
ENSG00000158578,ENST00000335854
ENSG00000158578,ENST00000493869
ENSG00000158882,ENST00000367987
ENSG00000158882,ENST00000367988
ENSG00000159111,ENST00000351111
ENSG00000159111,ENST00000290208
